game_id,selected,Goalkeeper,Defender,Midfielder,Attacker,transfers_balance,avg_team_strength_next_X,minutes,points_next_X
5385,67211,0,0,1,0,-4028,3.666666667,90,2.333333333
5935,73961,0,0,1,0,5413,3.666666667,22,1.333333333
6487,71349,0,0,1,0,-2942,4,45,1.666666667
7040,70314,0,0,1,0,-1402,3.666666667,81,1.333333333
7596,67932,0,0,1,0,-2611,2.666666667,45,1.666666667
8154,72209,0,0,1,0,3395,2.333333333,64,3
8713,66957,0,0,1,0,-5267,2.333333333,45,3
9275,64698,0,0,1,0,-2817,3.333333333,69,4
9840,65960,0,0,1,0,514,3,12,4
10408,61445,0,0,1,0,-4607,3.333333333,45,4.333333333
10976,73219,0,0,1,0,10216,3,90,3
11546,98537,0,0,1,0,23070,3,82,1.333333333
12120,95106,0,0,1,0,-3383,3.666666667,90,1.333333333
12699,94704,0,0,1,0,-1443,3,22,3.666666667
13282,84242,0,0,1,0,-9754,3,45,5.333333333
13936,86613,0,0,1,0,794,2.333333333,65,5
14536,139264,0,0,1,0,40943,3.333333333,87,3
15020,117904,0,0,1,0,-10276,4,74,1.333333333
15625,109517,0,0,1,0,-9004,4,33,2
16231,108806,0,0,1,0,-1508,3.333333333,90,1.666666667
17146,97477,0,0,1,0,-4056,3,13,2.333333333
18046,104738,0,0,1,0,5122,2.666666667,60,1.666666667
18420,99400,0,0,1,0,-4660,2.666666667,16,2
19107,103674,0,0,1,0,3568,2.666666667,90,1.333333333
16,120790,0,0,1,0,0,4,0,0
541,131230,0,0,1,0,-14851,3,0,0
1068,126971,0,0,1,0,-13727,2.666666667,0,0
1599,129719,0,0,1,0,-6521,2.666666667,0,0
2136,127820,0,0,1,0,-8141,3,0,0
2673,123906,0,0,1,0,-6829,2.666666667,0,0
3211,134953,0,0,1,0,4249,2.666666667,0,0
3750,146353,0,0,1,0,7472,2.333333333,0,0
4292,158488,0,0,1,0,7536,3.333333333,0,0
4838,155395,0,0,1,0,-3239,3.333333333,0,0
5386,146143,0,0,1,0,-10050,3.666666667,0,0
5936,139034,0,0,1,0,-7799,3.666666667,0,0
6488,135551,0,0,1,0,-4839,4,0,0
7041,135315,0,0,1,0,-1278,3.666666667,0,0
